_id,__v,createdAt,sequence,updatedAt,courses
60e64f71cbbec8f807339e59,0,2021-07-08 01:05:53.478,2,2021-07-08 01:05:53.702,
60e64f8fcbbec8f807339f5a,0,2021-07-08 01:06:23.024,4,2021-07-11 13:01:30.352,
60e65945cbbec8f80733f502,0,2021-07-08 01:47:49.235,2,2021-07-08 01:47:49.452,
60e65fd1cbbec8f8073439a0,0,2021-07-08 02:15:45.785,1,2021-07-08 02:15:45.785,
60e669d4cbbec8f807349a53,0,2021-07-08 02:58:28.056,1,2021-07-08 02:58:28.056,
60e67253cbbec8f80734ee25,0,2021-07-08 03:34:43.613,1,2021-07-08 03:34:43.613,
60e67e04cbbec8f807356163,0,2021-07-08 04:24:36.623,1,2021-07-08 04:24:36.623,
60e68ad7cbbec8f80735da2e,0,2021-07-08 05:19:19.370,2,2021-07-08 06:35:54.625,
60e69ad7cbbec8f807365c98,0,2021-07-08 06:27:35.836,1,2021-07-08 06:27:35.836,
60e6a041cbbec8f807368fde,0,2021-07-08 06:50:41.610,2,2021-07-20 05:21:29.843,
60e6a69ccbbec8f80736cb62,0,2021-07-08 07:17:48.490,4,2021-07-09 07:03:24.353,
60e6a7a8cbbec8f80736d59f,0,2021-07-08 07:22:16.598,1,2021-07-08 07:22:16.598,
60e6d26bcbbec8f807382d8e,0,2021-07-08 10:24:43.496,3,2021-08-06 04:04:21.619,
60e6d4d0cbbec8f807384539,0,2021-07-08 10:34:56.314,2,2021-08-24 05:45:05.283,
60e6d5c6cbbec8f807384ebe,0,2021-07-08 10:39:02.287,1,2021-07-08 10:39:02.287,
60e6e496cbbec8f80738cd55,0,2021-07-08 11:42:14.447,1,2021-07-08 11:42:14.447,
60e6fbafcbbec8f80739889b,0,2021-07-08 13:20:47.676,2,2021-07-10 14:25:50.212,
60e70b44cbbec8f8073a18bc,0,2021-07-08 14:27:16.408,7,2021-09-26 10:23:00.428,60d06564d47eb4e36bb3f03b
60e766d9cbbec8f8073cc8ed,0,2021-07-08 20:58:01.094,7,2021-09-24 03:17:24.224,60cffb38d47eb4e36bb39cb7
60e7a2cbcbbec8f8073e9051,0,2021-07-09 01:13:47.492,3,2021-07-09 01:51:13.943,
60e7a5eecbbec8f8073eb013,0,2021-07-09 01:27:10.556,1,2021-07-09 01:27:10.556,
60e7aca5cbbec8f8073efc75,0,2021-07-09 01:55:49.384,2,2021-07-09 01:55:50.232,
60e7aec6cbbec8f8073f0f74,0,2021-07-09 02:04:54.699,1,2021-07-09 02:04:54.699,
60e7b172cbbec8f8073f2b1d,0,2021-07-09 02:16:18.105,1,2021-07-09 02:16:18.105,
60e7b643cbbec8f8073f6426,0,2021-07-09 02:36:51.380,2,2021-07-17 07:26:28.633,
60e7b71ccbbec8f8073f6ded,0,2021-07-09 02:40:28.041,1,2021-07-09 02:40:28.041,
60e7c4e1cbbec8f8073ff21d,0,2021-07-09 03:39:13.355,1,2021-07-09 03:39:13.355,
60e7c8fbcbbec8f8074019a4,0,2021-07-09 03:56:43.276,1,2021-07-09 03:56:43.276,
60e7cdffcbbec8f807405008,0,2021-07-09 04:18:07.560,1,2021-07-09 04:18:07.560,
60e7d0f7cbbec8f807406f79,0,2021-07-09 04:30:47.106,3,2021-07-10 14:49:28.022,
60e7d2adcbbec8f807408314,0,2021-07-09 04:38:05.461,3,2021-07-10 03:38:52.453,
60e7dbbdcbbec8f80740e296,0,2021-07-09 05:16:45.127,4,2021-07-10 03:38:50.350,
60e7f50acbbec8f80741b74d,0,2021-07-09 07:04:42.227,2,2021-07-10 08:37:10.540,
60e7f582cbbec8f80741bc1c,0,2021-07-09 07:06:42.213,4,2021-07-10 05:59:40.895,
60e7f5a7cbbec8f80741be75,0,2021-07-09 07:07:19.816,2,2021-07-10 06:45:52.143,
60e7ffa3cbbec8f80742350c,0,2021-07-09 07:49:55.437,1,2021-07-09 07:49:55.437,
60e80cd0cbbec8f80742d76b,0,2021-07-09 08:46:08.850,6,2021-07-12 01:30:19.898,
60e8936bcbbec8f807478470,0,2021-07-09 18:20:27.246,2,2021-07-09 18:21:38.621,
60e90421cbbec8f8074af273,0,2021-07-10 02:21:21.849,1,2021-07-10 02:21:21.849,
60e91632cbbec8f8074bb34e,0,2021-07-10 03:38:26.594,2,2021-07-12 01:31:21.337,
60e91680cbbec8f8074bb5e2,0,2021-07-10 03:39:44.837,2,2021-07-13 01:56:55.019,
60e92994cbbec8f8074c6b81,0,2021-07-10 05:01:08.252,3,2021-07-13 06:27:30.050,
60e92c77cbbec8f8074c85db,0,2021-07-10 05:13:27.618,2,2021-07-10 05:13:28.080,
60e92ce9cbbec8f8074c8978,0,2021-07-10 05:15:21.145,2,2021-07-10 05:15:21.343,
60e94abfcbbec8f8074db7a0,0,2021-07-10 07:22:39.484,2,2021-07-10 07:22:39.638,
60e94cd7cbbec8f8074dcb16,0,2021-07-10 07:31:35.760,1,2021-07-10 07:31:35.760,
60e94e65cbbec8f8074ddadc,0,2021-07-10 07:38:13.977,1,2021-07-10 07:38:13.977,
60e9503dcbbec8f8074dec51,0,2021-07-10 07:46:05.584,1,2021-07-10 07:46:05.584,
60e95428cbbec8f8074e1202,0,2021-07-10 08:02:48.927,1,2021-07-10 08:02:48.927,
60e9568ccbbec8f8074e28e7,0,2021-07-10 08:13:00.667,2,2021-07-26 03:51:13.055,
60e95d42cbbec8f8074e6bd1,0,2021-07-10 08:41:38.854,4,2021-07-12 04:53:11.189,
60e96b11cbbec8f8074ee1c9,0,2021-07-10 09:40:33.514,4,2021-09-25 07:39:53.474,
60e9ae04cbbec8f80750ed1c,0,2021-07-10 14:26:12.095,4,2021-07-14 14:35:27.947,
